keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
bounce house rental,USD,110000,0%,-33%,High,84,0.79,2.13,,,,,,135000,135000,110000,90500,60500,40500,74000,74000,110000,110000,135000,110000,deprioritize_rental
bounce house,USD,110000,23%,0%,High,100,0.33,1.86,,,,,,110000,110000,110000,90500,74000,74000,74000,74000,135000,110000,135000,135000,other
bounce house for sale,USD,22200,0%,0%,High,100,0.23,0.98,,,,,,27100,22200,22200,18100,14800,12100,12100,14800,27100,27100,27100,27100,secondary
bounce house rentals near me,USD,49500,0%,0%,Medium,62,0.71,2.21,,,,,,60500,60500,60500,49500,22200,27100,33100,33100,60500,60500,74000,60500,deprioritize_rental
jumping castle,USD,1900,0%,-21%,High,100,0.38,1.89,,,,,,1900,1600,1900,1900,1900,1300,1600,1600,2400,1900,1900,1900,other
inflatable rentals near me,USD,12100,50%,0%,Medium,62,0.68,1.99,,,,,,22200,14800,14800,9900,4400,3600,8100,8100,14800,14800,18100,22200,deprioritize_rental
bouncy castle rental,USD,6600,0%,-91%,Medium,67,0.54,1.81,,,,,,33100,5400,6600,5400,8100,1300,1600,1900,3600,3600,3600,3600,deprioritize_rental
white bounce house,USD,5400,-18%,-18%,High,100,0.31,1.65,,,,,,6600,6600,6600,5400,3600,2900,5400,4400,6600,6600,6600,5400,other
commercial bounce house,USD,3600,23%,0%,High,100,0.29,1.54,,,,,,5400,4400,3600,3600,2400,1600,2400,2400,4400,4400,5400,5400,primary
water slides for sale,USD,8100,124%,0%,High,100,0.20,0.87,,,,,,18100,6600,3600,1300,1000,1000,1600,2400,8100,9900,14800,22200,secondary
inflatable bounce house,USD,12100,-18%,-18%,High,99,0.30,1.59,,,,,,14800,18100,14800,12100,9900,9900,8100,8100,14800,14800,14800,12100,other
inflatables,USD,27100,22%,0%,High,94,0.47,3.13,,,,,,33100,27100,27100,49500,27100,27100,22200,18100,27100,27100,33100,33100,other
water bounce house,USD,9900,124%,-18%,High,100,0.35,1.65,,,,,,22200,8100,2900,1600,1300,1300,1900,3600,9900,12100,22200,27100,other
inflatable rentals,USD,9900,22%,-18%,High,68,0.71,1.97,,,,,,18100,14800,12100,8100,4400,2900,4400,5400,9900,12100,14800,14800,deprioritize_rental
